Series ID,Year,Period,Label,Value
CXU080110LB1101M,2016,A01,2016 Annual,56
CXU080110LB1101M,2017,A01,2017 Annual,55
CXU080110LB1101M,2018,A01,2018 Annual,64
CXU080110LB1102M,2016,A01,2016 Annual,52
CXU080110LB1102M,2017,A01,2017 Annual,59
CXU080110LB1102M,2018,A01,2018 Annual,63
CXU080110LB1103M,2016,A01,2016 Annual,47
CXU080110LB1103M,2017,A01,2017 Annual,45
CXU080110LB1103M,2018,A01,2018 Annual,51
CXU080110LB1104M,2016,A01,2016 Annual,55
CXU080110LB1104M,2017,A01,2017 Annual,51
CXU080110LB1104M,2018,A01,2018 Annual,60
CXU080110LB1105M,2016,A01,2016 Annual,70
CXU080110LB1105M,2017,A01,2017 Annual,69
CXU080110LB1105M,2018,A01,2018 Annual,84
CXU190904LB1101M,2016,A01,2016 Annual,55
CXU190904LB1101M,2017,A01,2017 Annual,56
CXU190904LB1101M,2018,A01,2018 Annual,56
CXU190904LB1102M,2016,A01,2016 Annual,60
CXU190904LB1102M,2017,A01,2017 Annual,64
CXU190904LB1102M,2018,A01,2018 Annual,59
CXU190904LB1103M,2016,A01,2016 Annual,44
CXU190904LB1103M,2017,A01,2017 Annual,56
CXU190904LB1103M,2018,A01,2018 Annual,57
CXU190904LB1104M,2016,A01,2016 Annual,43
CXU190904LB1104M,2017,A01,2017 Annual,42
CXU190904LB1104M,2018,A01,2018 Annual,49
CXU190904LB1105M,2016,A01,2016 Annual,84
CXU190904LB1105M,2017,A01,2017 Annual,73
CXU190904LB1105M,2018,A01,2018 Annual,66
CXUANIMALLB1101M,2016,A01,2016 Annual,890
CXUANIMALLB1101M,2017,A01,2017 Annual,944
CXUANIMALLB1101M,2018,A01,2018 Annual,961
CXUANIMALLB1102M,2016,A01,2016 Annual,926
CXUANIMALLB1102M,2017,A01,2017 Annual,1027
CXUANIMALLB1102M,2018,A01,2018 Annual,1063
CXUANIMALLB1103M,2016,A01,2016 Annual,819
CXUANIMALLB1103M,2017,A01,2017 Annual,838
CXUANIMALLB1103M,2018,A01,2018 Annual,892
CXUANIMALLB1104M,2016,A01,2016 Annual,863
CXUANIMALLB1104M,2017,A01,2017 Annual,906
CXUANIMALLB1104M,2018,A01,2018 Annual,926
CXUANIMALLB1105M,2016,A01,2016 Annual,972
CXUANIMALLB1105M,2017,A01,2017 Annual,1045
CXUANIMALLB1105M,2018,A01,2018 Annual,1004
CXUBAKERYLB1101M,2016,A01,2016 Annual,353
CXUBAKERYLB1101M,2017,A01,2017 Annual,388
CXUBAKERYLB1101M,2018,A01,2018 Annual,392
CXUBAKERYLB1102M,2016,A01,2016 Annual,370
CXUBAKERYLB1102M,2017,A01,2017 Annual,438
CXUBAKERYLB1102M,2018,A01,2018 Annual,465
CXUBAKERYLB1103M,2016,A01,2016 Annual,361
CXUBAKERYLB1103M,2017,A01,2017 Annual,364
CXUBAKERYLB1103M,2018,A01,2018 Annual,368
CXUBAKERYLB1104M,2016,A01,2016 Annual,329
CXUBAKERYLB1104M,2017,A01,2017 Annual,362
CXUBAKERYLB1104M,2018,A01,2018 Annual,360
CXUBAKERYLB1105M,2016,A01,2016 Annual,371
CXUBAKERYLB1105M,2017,A01,2017 Annual,415
CXUBAKERYLB1105M,2018,A01,2018 Annual,411
CXUBEEFLB1101M,2016,A01,2016 Annual,244
CXUBEEFLB1101M,2017,A01,2017 Annual,253
CXUBEEFLB1101M,2018,A01,2018 Annual,253
CXUBEEFLB1102M,2016,A01,2016 Annual,234
CXUBEEFLB1102M,2017,A01,2017 Annual,273
CXUBEEFLB1102M,2018,A01,2018 Annual,245
CXUBEEFLB1103M,2016,A01,2016 Annual,246
CXUBEEFLB1103M,2017,A01,2017 Annual,227
CXUBEEFLB1103M,2018,A01,2018 Annual,254
CXUBEEFLB1104M,2016,A01,2016 Annual,235
CXUBEEFLB1104M,2017,A01,2017 Annual,245
CXUBEEFLB1104M,2018,A01,2018 Annual,251
