Year,Region,State for Tableau,Eggs,"Food prep. by consumer unit, out-of-town trips","Meats, poultry, fish, and eggs",Bakery products,Beef,Cereals and bakery products,Cereals and cereal products,Dairy products,Fats and oils,Fish and seafood,Food away from home,Food at home,Food,Fresh vegetables,Fresh fruits,Fruits and vegetables,Fresh milk and cream,Miscellaneous foods,Nonalcoholic beverages,Other dairy products,Other food at home,Other meats,Pork,Poultry,Processed fruits,Processed vegetables,Sugar and other sweets,Alcoholic beverages
2003,northeast,New York,53.84431063590321,48.17648846370287,1259.6734777715249,463.3444625773777,338.65237478897023,687.2234383792909,223.87897580191338,500.1853066966799,126.10904333145751,206.87550928531232,3434.700236353405,4684.455025323579,8119.155261676985,269.22155317951604,262.13677546426567,830.3359482273496,184.204220596511,670.21997186269,385.4119077096229,314.56413055711874,1408.4538097917841,187.03813168261115,238.04853123241418,233.79766460326397,174.2855317951604,124.69208778840743,178.53639842431062,605.0400168823861
2003,midwest,Iowa,43.92562183455262,49.59344400675296,1040.045368598762,391.07972988182337,318.814997186269,582.3687281935847,191.28899831176145,457.6766404051773,111.93948790095669,137.4446876758582,3094.630906021385,4114.8388970174465,7209.469803038829,201.207687113112,215.37724254361285,668.8030163196399,178.53639842431062,674.4708384918403,359.90670793472145,279.14024198086656,1363.1112324141816,138.86164321890828,228.12984243106357,174.2855317951604,136.02773213280813,114.77339898705685,167.20075407990998,571.0330838491841
2003,south,Florida,51.01039954980305,42.508666291502536,1183.1578784468206,383.99495216657294,371.2423522791221,585.202639279685,201.207687113112,422.25275182892517,120.44122115925718,171.45162070906022,2782.900686550366,4245.198806978053,7028.099493528419,218.211153629713,211.12637591446256,692.8912605514912,165.78379853685988,682.9725717501408,365.5745301069218,256.4689532920653,1361.6942768711313,133.19382104670794,256.4689532920653,199.79073157006192,138.86164321890828,124.69208778840743,151.61424310635903,488.8496623522792
2003,west,California,63.7629994372538,70.84777715250422,1202.995256049522,439.2562183455262,349.98801913337087,682.9725717501408,245.1333089476646,508.6870399549804,128.9429544175577,199.79073157006192,3470.124124929657,4857.323601575689,8326.0307709623,307.4793528418683,301.811530669668,896.9328587507034,196.9568204839617,752.4033933595949,420.8357962858751,311.73021947101864,1564.3189195272935,130.35990996060778,236.63157568936413,222.4620202588633,177.11944288126057,110.52253235790657,191.28899831176145,596.5382836240856
2003,All,,52.427355092853134,51.01039954980305,1168.9883230163198,413.75101857062464,348.5710635903208,626.2943500281374,212.5433314575127,464.7614181204278,121.85817670230728,175.7024873382105,3132.888705683737,4433.653894203714,7566.5425998874525,243.71635340461452,242.29939786156447,758.0712155317952,179.95335396736073,694.3082160945413,379.74408553742273,284.808064153067,1415.5385875070347,144.52946539110863,242.29939786156447,205.45855374226227,153.03119864940913,119.02426561620709,168.61770962296006,554.0296173325831
2002,northeast,New York,50.12943686006825,61.58759385665529,1257.5327303754266,472.648976109215,332.28655290102387,713.2702730375428,240.62129692832764,498.4298293515358,133.20107508532422,226.29860068259384,3605.0226450511946,4720.7606825938565,8325.783327645051,280.7248464163822,283.589385665529,866.5231228668943,183.3305119453925,645.9536006825938,373.82237201365183,316.5315870307167,1385.0047269624572,171.87235494880542,234.8922184300341,240.62129692832764,189.05959044368598,114.5815699658703,170.44008532423211,655.9794880546075
2002,midwest,Iowa,37.23901023890785,51.56170648464164,1011.1823549488057,413.92592150170645,299.34435153583615,623.0372866894198,209.11136518771332,458.3262798634812,114.5815699658703,130.33653583617743,3218.3098464163822,4199.414539249146,7419.156655290102,207.67909556313992,224.86633105802048,701.8121160409556,184.76278156996585,690.3539590443686,378.11918088737195,273.5634982935153,1405.0565017064844,143.22696245733786,224.86633105802048,179.03370307167233,154.6851194539249,113.14930034129692,170.44008532423211,587.2305460750853
2002,south,Florida,47.264897610921494,50.12943686006825,1158.7061262798634,396.738686006826,346.60924914675763,602.9855119453924,207.67909556313992,429.68088737201373,118.87837883959044,167.57554607508533,3066.4892662116035,4240.950358361774,7307.439624573378,227.7308703071672,230.59540955631402,731.8897781569965,170.44008532423211,654.547218430034,333.71882252559726,259.2408020477816,1316.255784982935,137.49788395904437,260.67307167235487,200.517747440273,147.52377133105801,126.03972696245731,157.54965870307166,403.9000341296928
2002,west,California,60.15532423208191,77.34255972696245,1155.8415870307167,435.40996587030713,339.4479010238908,671.7344539249146,237.75675767918088,522.7784129692833,126.03972696245731,180.46597269624573,3314.2719112627983,4750.838344709898,8063.677986348122,305.0734300341297,300.77662116040955,909.4912116040956,197.65320819112628,720.4316211604096,386.71279863481226,325.12520477815696,1490.992679180887,134.63334470989759,224.86633105802048,214.84044368600686,184.76278156996585,118.87837883959044,180.46597269624573,601.5532423208191
2002,All,,48.69716723549488,58.72305460750854,1142.9511604095562,423.9518088737201,330.8542832764505,644.5213310580205,220.56952218430038,469.7844368600682,121.74291808873718,173.30462457337882,3259.84566552901,4438.603566552901,7698.449232081911,250.64718430034125,254.94399317406143,790.6128327645051,181.8982423208191,676.0312627986348,363.7964846416382,287.8861945392492,1389.3015358361774,144.65923208191126,239.18902730375427,206.24682593856656,166.1432764505119,118.87837883959044,167.57554607508533,538.5333788395906
